P0,0,0,0
P1,0,1.496e+11,1.0728e+08
P0,3600,0,0
P1,3600,1.496e+11,2.1456e+08
P0,7200,0,0
P1,7200,1.496e+11,3.2184e+08
P0,10800,0,0
P1,10800,1.49599e+11,4.29119e+08
P0,14400,0,0
P1,14400,1.49599e+11,5.36399e+08
P0,18000,0,0
P1,18000,1.49598e+11,6.43678e+08
P0,21600,0,0
P1,21600,1.49598e+11,7.50957e+08
P0,25200,0,0
P1,25200,1.49597e+11,8.58235e+08
P0,28800,0,0
P1,28800,1.49597e+11,9.65513e+08
P0,32400,0,0
P1,32400,1.49596e+11,1.07279e+09
P0,36000,0,0
P1,36000,1.49595e+11,1.18007e+09
P0,39600,0,0
P1,39600,1.49594e+11,1.28734e+09
P0,43200,0,0
P1,43200,1.49593e+11,1.39462e+09
P0,46800,0,0
P1,46800,1.49592e+11,1.50189e+09
P0,50400,0,0
P1,50400,1.49591e+11,1.60917e+09
P0,54000,0,0
P1,54000,1.4959e+11,1.71644e+09
P0,57600,0,0
P1,57600,1.49588e+11,1.82372e+09
P0,61200,0,0
P1,61200,1.49587e+11,1.93099e+09
P0,64800,0,0
P1,64800,1.49585e+11,2.03826e+09
P0,68400,0,0
P1,68400,1.49584e+11,2.14553e+09
P0,72000,0,0
P1,72000,1.49582e+11,2.2528e+09
P0,75600,0,0
P1,75600,1.49581e+11,2.36006e+09
P0,79200,0,0
P1,79200,1.49579e+11,2.46733e+09
P0,82800,0,0
P1,82800,1.49577e+11,2.57459e+09
P0,86400,0,0
P1,86400,1.49575e+11,2.68186e+09
P0,90000,0,0
P1,90000,1.49573e+11,2.78912e+09
P0,93600,0,0
P1,93600,1.49571e+11,2.89638e+09
P0,97200,0,0
P1,97200,1.49569e+11,3.00364e+09
P0,100800,0,0
P1,100800,1.49567e+11,3.1109e+09
P0,104400,0,0
P1,104400,1.49564e+11,3.21815e+09
P0,108000,0,0
P1,108000,1.49562e+11,3.32541e+09
P0,111600,0,0
P1,111600,1.49559e+11,3.43266e+09
P0,115200,0,0
P1,115200,1.49557e+11,3.53991e+09
